Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,Pollution_Level
159,21314,62,2,-0.7469152898955511,Good,-0.006894027519452412,Good,-0.5830483105713736,Good,-0.11898388056698933,Moderate,Low
172,21374,167,3,1.4364614554877808,Good,4.690928400409263,Unhealthy,-0.3927170060713926,Good,0.7022548055962365,Unhealthy for Sensitive Groups,High
166,21386,49,0,-0.20107110354971808,Good,-0.29161053830301087,Good,0.17827690742855065,Good,-0.3562306121252546,Good,Low
166,21393,55,2,0.3447730827961149,Good,-0.3627896659989005,Good,1.510596038928418,Good,-0.24673212063682448,Moderate,Low
130,21394,34,0,-0.20107110354971808,Good,-0.042483591367397225,Good,-0.5830483105713736,Good,-0.66647633800914,Good,Low
69,21441,80,2,-0.20107110354971808,Good,-0.3627896659989005,Good,-0.5830483105713736,Good,0.20951159389830104,Moderate,Low
69,21492,163,3,0.3447730827961149,Good,2.021711111813402,Moderate,-0.5830483105713736,Good,1.7242407261549177,Unhealthy,High
166,22694,126,4,1.4364614554877808,Good,-1.1457600706536863,Good,6.268878651427945,Good,1.049000028642932,Unhealthy for Sensitive Groups,Low
166,22696,63,2,0.3447730827961149,Good,-0.9322226875660174,Good,3.60424038842821,Good,-0.10073413198558431,Moderate,Low
166,22769,53,2,0.3447730827961149,Good,-0.29161053830301087,Good,1.320264734428437,Good,-0.2832316177996345,Moderate,Low
166,22796,86,2,0.3447730827961149,Good,0.09987466402438201,Good,1.320264734428437,Good,0.31901008538673115,Moderate,Low
33,22832,47,0,0.3447730827961149,Good,0.4201807386558853,Good,-0.5830483105713736,Good,-0.7942245780789751,Good,Low
33,22868,78,2,0.3447730827961149,Good,-0.3627896659989005,Good,0.7492708209284938,Good,0.173012096735491,Moderate,Low
33,22878,61,2,0.3447730827961149,Good,0.9184346325271127,Moderate,-0.5830483105713736,Good,-0.26498186921822947,Moderate,Low
33,22924,112,4,0.3447730827961149,Good,0.3134120471120509,Good,0.17827690742855065,Good,0.7935035485032617,Unhealthy for Sensitive Groups,Low
121,22963,27,0,-0.7469152898955511,Good,-1.038991379109852,Good,-0.3927170060713926,Good,-0.7577250809161651,Good,Low
33,22969,155,3,0.8906172691419479,Good,4.263853634233925,Unhealthy,-0.20238570157141153,Good,1.5052437431780574,Unhealthy,High
43,22973,121,4,1.4364614554877808,Good,-0.3983792298468453,Good,-0.5830483105713736,Good,0.9577512857359068,Unhealthy for Sensitive Groups,Low
33,22975,160,3,0.8906172691419479,Good,3.658831048818863,Unhealthy for Sensitive Groups,0.3686082119285317,Good,1.6694914804107026,Unhealthy,High
33,22977,144,4,1.4364614554877808,Good,2.6267336972284636,Unhealthy for Sensitive Groups,1.129933429928456,Good,1.3774955031082223,Unhealthy for Sensitive Groups,Low
33,22982,69,2,0.3447730827961149,Good,0.4557703025038301,Good,-0.5830483105713736,Good,0.008764359502845813,Moderate,Low
166,22983,47,0,-0.20107110354971808,Good,-0.042483591367397225,Good,-0.012054397071430436,Good,-0.3927301092880646,Good,Low
58,22512,69,2,-0.20107110354971808,Good,-0.042483591367397225,Good,0.17827690742855065,Good,0.008764359502845813,Moderate,Low
166,22546,84,2,0.8906172691419479,Good,-0.9322226875660174,Good,3.984902997428172,Good,0.2825105882239211,Moderate,Low
